Name,Deaths, Cost 
Southeast Winter Storm (January 2000),4," $706,000,000,000 "
Southern Severe Weather (March 2000),0," $690,000,000,000 "
Western Fire Season (Spring-Summer 2000),0," $1,075,000,000,000 "
South Florida Flooding (October 2000),3," $900,000,000,000 "
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),140," $4,997,200,000,000 "
Midwest/Ohio Valley Hail and Tornadoes (April 2001),3," $3,094,800,000,000 "
North Central Severe Weather (May 2001),0," $671,000,000,000 "
Tropical Storm Allison (June 2001),43," $8,522,000,000,000 "
Severe Storms and Tornadoes (April 2002),7," $2,093,800,000,000 "
Hurricane Lili (October 2002),2," $1,104,500,000,000 "
Tropical Storm Isidore (September 2002),5," $1,150,000,000,000 "
Eastern Tornadoes and Severe Storms (November 2002),28," $720,000,000,000 "
Western Fire Season (Fall 2002),21," $1,322,800,000,000 "
U.S. Drought (Spring-Fall 2002),0," $9,006,400,000,000 "
Severe Storms/Hail (April 2003),3," $2,006,300,000,000 "
Severe Storms/Tornadoes (May 2003),51," $4,128,400,000,000 "
Midwest/Plains Severe Weather (July 2003),7," $858,100,000,000 "
Southern Derecho and Eastern Severe Weather (July 2003),7," $1,008,200,000,000 "
Hurricane Isabel (September 2003),55," $5,484,000,000,000 "
California Wildfires (Fall 2003),22," $3,890,400,000,000 "
Western/Central Drought/Heat Wave (Spring-Fall 2003),35," $5,017,700,000,000 "
"Severe Storms, Hail, Tornadoes (May 2004)",4," $1,013,900,000,000 "
Colorado Hail Storms (June 2004),0," $695,000,000,000 "
Hurricane Charley (August 2004),35," $15,999,500,000,000 "
Hurricane Frances (September 2004),48," $9,800,000,000,000 "
Hurricane Ivan (September 2004),57," $20,500,500,000,000 "
Hurricane Jeanne (September 2004),28," $7,496,500,000,000 "
Southeast Severe Weather (March 2005),0," $865,000,000,000 "
Hurricane Dennis (July 2005),15," $2,495,000,000,000 "
Hurricane Katrina (August 2005),1833," $125,029,500,000,000 "
Midwest Drought (Spring-Summer 2005),0," $1,474,800,000,000 "
Hurricane Rita (September 2005),119," $18,500,100,000,000 "
Hurricane Wilma (October 2005),35," $19,000,000,000,000 "
Severe Storms and Tornadoes (March 2006),10," $1,337,500,000,000 "
"Midwest/Southeast Tornadoes (April 6-8, 2006)",10," $1,603,800,000,000 "
Midwest Tornadoes (April 2006),27," $2,423,500,000,000 "
Northeast Flooding (June 2006),20," $1,521,600,000,000 "
North Central Severe Weather and Tornadoes (August 2006),1," $759,000,000,000 "
Midwest/Plains/Southeast Drought (Spring-Summer 2006),0," $5,997,900,000,000 "
Central Severe Weather (October 2006),1," $879,000,000,000 "
Numerous Wildfires (2006),28," $1,467,100,000,000 "
California Freeze (January 2007),1," $1,400,000,000,000 "
Spring Freeze (April 2007),0," $2,044,000,000,000 "
East/South Severe Weather and Flooding (April 2007),9," $2,507,800,000,000 "
Western Wildfires (Summer 2007),12," $2,741,300,000,000 "
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),15," $3,538,300,000,000 "
"Western, Central and Northeast Severe Weather (January 2008)",12," $982,000,000,000 "
Southeast Tornadoes and Severe Weather (February 2008),57," $1,211,600,000,000 "
Southeast Tornadoes (March 2008),5," $1,131,000,000,000 "
Southern Severe Weather (April 2008),2," $1,039,600,000,000 "
Midwest Tornadoes and Severe Weather (May 2008),13," $3,029,500,000,000 "
Midwest/Mid-Atlantic Severe Weather (June 2008),18," $1,635,900,000,000 "
Midwest Flooding (Summer 2008),24," $9,958,400,000,000 "
Hurricane Dolly (July 2008),3," $1,267,300,000,000 "
Hurricane Gustav (September 2008),53," $5,997,000,000,000 "
Hurricane Ike (September 2008),112," $29,998,800,000,000 "
U.S. Wildfires (Fall 2008),16," $1,234,000,000,000 "
U.S. Drought (2008),0," $7,009,800,000,000 "
Southeast/Ohio Valley Severe Weather (February 2009),10," $1,740,200,000,000 "
Midwest/Southeast Tornadoes (March 2009),0," $1,640,500,000,000 "
South/Southeast Severe Weather and Tornadoes (April 2009),6," $1,430,100,000,000 "
Central Derecho and Tornadoes (May 2009),7," $861,000,000,000 "
"Midwest, South and East Severe Weather (June 2009)",0," $1,328,100,000,000 "
Colorado Hail Storm (July 2009),0," $1,000,000,000,000 "
Georgia Flooding (September 2009),10," $898,500,000,000 "
Western Wildfires (Summer-Fall 2009),10," $1,011,900,000,000 "
Southwest/Great Plains Drought (2009),0," $3,492,000,000,000 "
Northeast Winter Storm (February 2010),3," $817,000,000,000 "
Northeast Flooding (March 2010),11," $1,844,200,000,000 "
East/South Flooding and Severe Weather (May 2010),32," $2,266,300,000,000 "
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",3," $3,333,800,000,000 "
Rockies/Central/East Severe Weather (June 2010),2," $901,000,000,000 "
Midwest/Northeast Severe Storms and Flooding (July 2010),0," $948,300,000,000 "
Arizona Severe Weather (October 2010),0," $3,800,000,000,000 "
Groundhog Day Blizzard (February 2011),36," $1,794,200,000,000 "
Midwest/Southeast Tornadoes and Derecho (April 2011),9," $2,775,200,000,000 "
Southeast/Midwest Tornadoes (April 2011),0," $2,179,300,000,000 "
Midwest/Southeast Tornadoes (April 2011),38," $2,059,200,000,000 "
Ohio Valley Derecho and Southern Tornadoes (April 2011),0," $1,037,500,000,000 "
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),321," $10,222,000,000,000 "
Midwest/Southeast Tornadoes (May 2011),177," $9,096,800,000,000 "
Mississippi River flooding (April-May 2011),7," $2,986,000,000,000 "
Midwest/Southeast Tornadoes and Severe Weather (June 2011),3," $1,537,300,000,000 "
Missouri River flooding (May-June 2011),5," $2,002,300,000,000 "
"North Central Severe Weather (July 1, 2011)",0," $888,000,000,000 "
"Rockies and Midwest Derecho (July 10-11, 2011)",2," $1,235,000,000,000 "
"Midwest/Southeast Severe Weather (August 17-18, 2011)",0," $1,151,400,000,000 "
Hurricane Irene (August 2011),45," $13,494,000,000,000 "
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),95," $11,964,800,000,000 "
Tropical Storm Lee (September 2011),21," $2,512,500,000,000 "
Northeastern Winter Storm (October 2011),1," $925,000,000,000 "
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",5," $1,820,800,000,000 "
Southeast/Ohio Valley Tornadoes (March 2012),42," $3,128,800,000,000 "
Texas Tornadoes (April 2012),0," $1,015,300,000,000 "
Midwest Tornadoes (April 2012),6," $1,123,600,000,000 "
Midwest/Ohio Valley Severe Weather (April-May 2012),1," $3,276,300,000,000 "
Southern Plains/Midwest/Northeast Severe Weather (May 2012),1," $2,303,700,000,000 "
Rockies/Southwest Severe Weather (June 2012),0," $2,597,800,000,000 "
Plains/East/Northeast Derecho (June-July 2012),28," $2,888,400,000,000 "
Hurricane Isaac (August 2012),9," $2,763,500,000,000 "
Hurricane Sandy (October 2012),159," $65,039,600,000,000 "
